Make,Model,Year,Problem,Symptoms,Solution,Cost,Difficulty
Hyundai,Sonata,2020,Dead Battery,"Car won't start, Weak sound when starting, Dim lights",Charge the battery,$145,Easy
Audi,A4,2022,Brake Issues,Squeaking when braking,Replace brake pads,$261,Medium
Nissan,Patrol,2020,Tire Issues,"Car vibration, Low tire pressure, Uneven tire wear",Balance tires,$63,Easy
Toyota,Corolla,2022,Exhaust System Issues,Strong fuel smell,Inspect exhaust system,$755,Hard
Toyota,Corolla,2021,Cooling System Issues,"Engine overheating, Coolant leakage",Replace water pump,$389,Medium
Nissan,Patrol,2003,Tire Issues,Low tire pressure,Replace tires,$217,Easy
Hyundai,Sonata,2016,Brake Issues,Increased stopping distance,Replace brake pads,$252,Medium
Audi,A4,2011,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$130,Easy
Toyota,Corolla,2022,Tire Issues,"Uneven tire wear, Car vibration, Low tire pressure",Replace tires,$263,Easy
Chevrolet,Camaro,2018,Dead Battery,"Weak sound when starting, Dim lights",Replace the battery,$92,Easy
Ford,F-150,2010,Electrical System Issues,"Weak battery charging, Failure to turn on lights, Warning light on dashboard",Replace fuses,$196,Medium
Honda,Civic,2021,Engine Oil Leak,"Low oil level, Oil spots under the car",Fix the leak,$297,Medium
BMW,X5,2011,Electrical System Issues,Warning light on dashboard,Replace fuses,$353,Medium
Toyota,Corolla,2017,Exhaust System Issues,Black smoke emission,Replace catalytic converter,$975,Hard
Honda,Civic,2023,Faulty Spark Plugs,"Increased fuel consumption, Poor acceleration",Replace spark plugs,$179,Easy
BMW,X5,2022,Electrical System Issues,"Warning light on dashboard, Weak battery charging",Replace fuses,$347,Medium
Mercedes,C-Class,2010,Brake Issues,Squeaking when braking,Replace brake pads,$301,Medium
Toyota,Corolla,2020,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption, Engine vibration",Replace spark plugs,$295,Easy
BMW,X5,2018,Cooling System Issues,"Burning smell, Coolant leakage",Replace water pump,$370,Medium
Kia,Sportage,2015,Dead Battery,"Car won't start, Dim lights, Weak sound when starting",Replace the battery,$62,Easy
Ford,F-150,2013,Engine Oil Leak,Burning smell,Fix the leak,$587,Medium
Audi,A4,2020,Engine Oil Leak,"Burning smell, Oil spots under the car",Replace gaskets,$214,Medium
Hyundai,Sonata,2023,Cooling System Issues,"Burning smell, Coolant leakage, Engine overheating",Inspect cooling system,$337,Medium
Mercedes,C-Class,2012,Brake Issues,"Increased stopping distance, Squeaking when braking, Steering wheel vibration",Replace brake pads,$287,Medium
Audi,A4,2021,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption",Replace spark plugs,$145,Easy
Hyundai,Sonata,2012,Tire Issues,Low tire pressure,Balance tires,$208,Easy
Mercedes,C-Class,2017,Tire Issues,Low tire pressure,Replace tires,$219,Easy
Toyota,Corolla,2019,Exhaust System Issues,Loud exhaust noise,Inspect exhaust system,$566,Hard
Toyota,Corolla,2016,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$134,Easy
Chevrolet,Camaro,2023,Electrical System Issues,Failure to turn on lights,Inspect electrical wiring,$309,Medium
Mercedes,C-Class,2017,Engine Oil Leak,"Oil spots under the car, Low oil level, Burning smell",Fix the leak,$216,Medium
Honda,Civic,2012,Faulty Spark Plugs,Increased fuel consumption,Replace spark plugs,$270,Easy
Ford,F-150,2012,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$111,Easy
Kia,Sportage,2010,Tire Issues,"Low tire pressure, Uneven tire wear",Replace tires,$108,Easy
BMW,X5,2014,Suspension Issues,"Car vibration over bumps, Car swaying, Squeaking noise from underneath",Inspect suspension system,$632,Hard
Mercedes,C-Class,2021,Brake Issues,"Steering wheel vibration, Increased stopping distance, Squeaking when braking",Replace brake pads,$359,Medium
Ford,F-150,2021,Suspension Issues,Car swaying,Replace shock absorbers,$936,Hard
Hyundai,Sonata,2023,Cooling System Issues,"Engine overheating, Coolant leakage",Inspect cooling system,$650,Medium
Hyundai,Sonata,2021,Cooling System Issues,"Burning smell, Coolant leakage",Inspect cooling system,$400,Medium
Toyota,Corolla,2016,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption",Replace spark plugs,$292,Easy
Hyundai,Sonata,2018,Exhaust System Issues,Strong fuel smell,Inspect exhaust system,$766,Hard
Hyundai,Sonata,2012,Suspension Issues,"Squeaking noise from underneath, Car swaying",Replace shock absorbers,$827,Hard
Nissan,Patrol,2020,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption, Poor acceleration",Replace spark plugs,$140,Easy
Chevrolet,Camaro,2016,Engine Oil Leak,Oil spots under the car,Fix the leak,$578,Medium
Honda,Civic,2010,Tire Issues,"Uneven tire wear, Car vibration",Balance tires,$78,Easy
BMW,X5,2012,Cooling System Issues,"Coolant leakage, Burning smell",Replace water pump,$767,Medium
Mercedes,C-Class,2021,Cooling System Issues,"Burning smell, Coolant leakage, Engine overheating",Inspect cooling system,$329,Medium
Mercedes,C-Class,2017,Tire Issues,"Car vibration, Low tire pressure, Uneven tire wear",Balance tires,$215,Easy
Hyundai,Sonata,2018,Cooling System Issues,"Burning smell, Engine overheating",Replace water pump,$647,Medium
Chevrolet,Camaro,2020,Cooling System Issues,"Engine overheating, Burning smell",Replace water pump,$735,Medium
Toyota,Corolla,2022,Cooling System Issues,"Engine overheating, Coolant leakage",Inspect cooling system,$775,Medium
Honda,Civic,2014,Engine Oil Leak,Burning smell,Fix the leak,$381,Medium
Audi,A4,2015,Faulty Spark Plugs,"Engine vibration, Poor acceleration, Increased fuel consumption",Replace spark plugs,$209,Easy
Kia,Sportage,2019,Brake Issues,"Steering wheel vibration, Squeaking when braking",Inspect brake system,$194,Medium
Honda,Civic,2022,Suspension Issues,"Car swaying, Squeaking noise from underneath, Car vibration over bumps",Inspect suspension system,$775,Hard
Kia,Sportage,2020,Cooling System Issues,Engine overheating,Inspect cooling system,$337,Medium
Honda,Civic,2019,Cooling System Issues,Coolant leakage,Inspect cooling system,$730,Medium
Nissan,Patrol,2003,Dead Battery,"Car won't start, Weak sound when starting",Replace the battery,$184,Easy
Nissan,Patrol,2005,Exhaust System Issues,"Loud exhaust noise, Black smoke emission, Strong fuel smell",Inspect exhaust system,$1095,Hard
Kia,Sportage,2010,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath, Car swaying",Replace shock absorbers,$719,Hard
Audi,A4,2022,Engine Oil Leak,"Burning smell, Oil spots under the car, Low oil level",Fix the leak,$491,Medium
Ford,F-150,2014,Exhaust System Issues,"Strong fuel smell, Black smoke emission, Loud exhaust noise",Inspect exhaust system,$757,Hard
BMW,X5,2010,Exhaust System Issues,"Loud exhaust noise, Strong fuel smell, Black smoke emission",Inspect exhaust system,$639,Hard
Hyundai,Sonata,2014,Dead Battery,"Car won't start, Dim lights",Replace the battery,$87,Easy
Audi,A4,2014,Engine Oil Leak,Low oil level,Fix the leak,$233,Medium
BMW,X5,2018,Electrical System Issues,Warning light on dashboard,Replace fuses,$286,Medium
Mercedes,C-Class,2020,Tire Issues,"Car vibration, Low tire pressure, Uneven tire wear",Balance tires,$226,Easy
Kia,Sportage,2014,Exhaust System Issues,"Strong fuel smell, Loud exhaust noise",Inspect exhaust system,$713,Hard
Ford,F-150,2020,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$212,Easy
Mercedes,C-Class,2012,Tire Issues,Car vibration,Replace tires,$162,Easy
Hyundai,Sonata,2014,Tire Issues,Car vibration,Balance tires,$258,Easy
Kia,Sportage,2021,Cooling System Issues,Coolant leakage,Inspect cooling system,$474,Medium
Ford,F-150,2021,Engine Oil Leak,"Oil spots under the car, Burning smell",Fix the leak,$563,Medium
BMW,X5,2021,Tire Issues,"Low tire pressure, Uneven tire wear, Car vibration",Balance tires,$257,Easy
Audi,A4,2019,Dead Battery,"Car won't start, Dim lights, Weak sound when starting",Replace the battery,$147,Easy
Ford,F-150,2011,Electrical System Issues,"Weak battery charging, Warning light on dashboard",Inspect electrical wiring,$203,Medium
Nissan,Patrol,2007,Engine Oil Leak,"Low oil level, Burning smell, Oil spots under the car",Replace gaskets,$217,Medium
Mercedes,C-Class,2014,Tire Issues,"Low tire pressure, Car vibration, Uneven tire wear",Replace tires,$154,Easy
Toyota,Corolla,2020,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption, Engine vibration",Replace spark plugs,$156,Easy
Nissan,Patrol,2010,Cooling System Issues,Coolant leakage,Replace water pump,$544,Medium
Audi,A4,2020,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption",Replace spark plugs,$260,Easy
Honda,Civic,2023,Electrical System Issues,Weak battery charging,Inspect electrical wiring,$215,Medium
Nissan,Patrol,2021,Brake Issues,"Increased stopping distance, Steering wheel vibration, Squeaking when braking",Replace brake pads,$389,Medium
Ford,F-150,2008,Engine Oil Leak,"Burning smell, Oil spots under the car, Low oil level",Replace gaskets,$484,Medium
Audi,A4,2014,Cooling System Issues,"Coolant leakage, Burning smell",Replace water pump,$313,Medium
Audi,A4,2014,Electrical System Issues,"Failure to turn on lights, Weak battery charging, Warning light on dashboard",Replace fuses,$140,Medium
Hyundai,Sonata,2014,Electrical System Issues,"Warning light on dashboard, Weak battery charging, Failure to turn on lights",Inspect electrical wiring,$125,Medium
Audi,A4,2023,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$138,Easy
Chevrolet,Camaro,2017,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption",Replace spark plugs,$200,Easy
Nissan,Patrol,2010,Dead Battery,"Weak sound when starting, Dim lights, Car won't start",Replace the battery,$74,Easy
Audi,A4,2018,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$289,Easy
Mercedes,C-Class,2022,Tire Issues,Uneven tire wear,Replace tires,$92,Easy
Audi,A4,2013,Suspension Issues,Car swaying,Replace shock absorbers,$447,Hard
Audi,A4,2013,Engine Oil Leak,"Oil spots under the car, Burning smell, Low oil level",Replace gaskets,$220,Medium
Toyota,Corolla,2017,Cooling System Issues,"Burning smell, Coolant leakage, Engine overheating",Inspect cooling system,$716,Medium
Nissan,Patrol,2002,Faulty Spark Plugs,"Poor acceleration, Engine vibration, Increased fuel consumption",Replace spark plugs,$245,Easy
Audi,A4,2022,Suspension Issues,"Squeaking noise from underneath, Car swaying",Replace shock absorbers,$516,Hard
Mercedes,C-Class,2019,Electrical System Issues,Failure to turn on lights,Replace fuses,$267,Medium
Toyota,Corolla,2023,Faulty Spark Plugs,"Increased fuel consumption, Poor acceleration",Replace spark plugs,$278,Easy
Honda,Civic,2018,Suspension Issues,"Car swaying, Squeaking noise from underneath, Car vibration over bumps",Inspect suspension system,$659,Hard
Kia,Sportage,2017,Dead Battery,"Dim lights, Car won't start",Replace the battery,$114,Easy
BMW,X5,2017,Faulty Spark Plugs,"Increased fuel consumption, Engine vibration",Replace spark plugs,$185,Easy
Ford,F-150,2013,Cooling System Issues,"Engine overheating, Burning smell",Inspect cooling system,$510,Medium
Chevrolet,Camaro,2016,Cooling System Issues,Burning smell,Inspect cooling system,$603,Medium
Hyundai,Sonata,2023,Cooling System Issues,"Burning smell, Coolant leakage",Inspect cooling system,$426,Medium
Kia,Sportage,2011,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard",Inspect electrical wiring,$365,Medium
Ford,F-150,2005,Exhaust System Issues,Loud exhaust noise,Replace catalytic converter,$1109,Hard
Nissan,Patrol,2003,Brake Issues,"Steering wheel vibration, Increased stopping distance, Squeaking when braking",Replace brake pads,$213,Medium
Ford,F-150,2016,Cooling System Issues,"Engine overheating, Coolant leakage, Burning smell",Replace water pump,$459,Medium
Toyota,Corolla,2017,Suspension Issues,Squeaking noise from underneath,Inspect suspension system,$741,Hard
Toyota,Corolla,2021,Dead Battery,"Dim lights, Car won't start, Weak sound when starting",Replace the battery,$64,Easy
Audi,A4,2023,Electrical System Issues,"Weak battery charging, Failure to turn on lights, Warning light on dashboard",Replace fuses,$159,Medium
Audi,A4,2020,Exhaust System Issues,"Black smoke emission, Strong fuel smell, Loud exhaust noise",Inspect exhaust system,$559,Hard
BMW,X5,2019,Tire Issues,"Uneven tire wear, Low tire pressure",Replace tires,$127,Easy
Toyota,Corolla,2018,Brake Issues,"Squeaking when braking, Steering wheel vibration, Increased stopping distance",Replace brake pads,$243,Medium
Honda,Civic,2011,Tire Issues,Car vibration,Replace tires,$68,Easy
Toyota,Corolla,2021,Suspension Issues,"Car vibration over bumps, Car swaying, Squeaking noise from underneath",Inspect suspension system,$800,Hard
Kia,Sportage,2013,Suspension Issues,"Car swaying, Car vibration over bumps, Squeaking noise from underneath",Inspect suspension system,$728,Hard
Chevrolet,Camaro,2012,Faulty Spark Plugs,"Poor acceleration, Engine vibration, Increased fuel consumption",Replace spark plugs,$261,Easy
Ford,F-150,2011,Faulty Spark Plugs,Increased fuel consumption,Replace spark plugs,$222,Easy
Honda,Civic,2020,Suspension Issues,Car swaying,Replace shock absorbers,$466,Hard
Kia,Sportage,2023,Exhaust System Issues,"Strong fuel smell, Black smoke emission, Loud exhaust noise",Inspect exhaust system,$951,Hard
Hyundai,Sonata,2021,Electrical System Issues,Weak battery charging,Replace fuses,$419,Medium
Toyota,Corolla,2016,Engine Oil Leak,Low oil level,Fix the leak,$378,Medium
Audi,A4,2018,Dead Battery,"Car won't start, Dim lights",Charge the battery,$54,Easy
Mercedes,C-Class,2010,Electrical System Issues,"Weak battery charging, Failure to turn on lights",Replace fuses,$208,Medium
Chevrolet,Camaro,2016,Suspension Issues,"Squeaking noise from underneath, Car swaying, Car vibration over bumps",Inspect suspension system,$436,Hard
Toyota,Corolla,2022,Cooling System Issues,Engine overheating,Inspect cooling system,$655,Medium
Audi,A4,2017,Tire Issues,"Low tire pressure, Car vibration, Uneven tire wear",Balance tires,$241,Easy
Ford,F-150,2022,Cooling System Issues,"Burning smell, Engine overheating",Replace water pump,$580,Medium
Chevrolet,Camaro,2014,Dead Battery,"Weak sound when starting, Car won't start, Dim lights",Replace the battery,$152,Easy
BMW,X5,2015,Suspension Issues,Squeaking noise from underneath,Replace shock absorbers,$770,Hard
Kia,Sportage,2012,Exhaust System Issues,Black smoke emission,Inspect exhaust system,$1045,Hard
Audi,A4,2018,Exhaust System Issues,Black smoke emission,Replace catalytic converter,$755,Hard
Kia,Sportage,2018,Faulty Spark Plugs,"Engine vibration, Poor acceleration",Replace spark plugs,$166,Easy
Nissan,Patrol,2016,Exhaust System Issues,"Strong fuel smell, Black smoke emission",Inspect exhaust system,$1114,Hard
Kia,Sportage,2018,Cooling System Issues,"Coolant leakage, Engine overheating",Replace water pump,$386,Medium
Ford,F-150,2019,Dead Battery,"Dim lights, Weak sound when starting, Car won't start",Charge the battery,$110,Easy
Chevrolet,Camaro,2020,Cooling System Issues,"Engine overheating, Coolant leakage, Burning smell",Replace water pump,$638,Medium
Toyota,Corolla,2018,Electrical System Issues,"Weak battery charging, Warning light on dashboard, Failure to turn on lights",Inspect electrical wiring,$234,Medium
BMW,X5,2013,Cooling System Issues,"Coolant leakage, Burning smell, Engine overheating",Inspect cooling system,$676,Medium
Mercedes,C-Class,2020,Engine Oil Leak,"Oil spots under the car, Low oil level, Burning smell",Replace gaskets,$591,Medium
BMW,X5,2018,Electrical System Issues,"Failure to turn on lights, Weak battery charging, Warning light on dashboard",Replace fuses,$476,Medium
Audi,A4,2014,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath",Replace shock absorbers,$447,Hard
Mercedes,C-Class,2023,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard, Weak battery charging",Inspect electrical wiring,$403,Medium
Toyota,Corolla,2021,Exhaust System Issues,"Black smoke emission, Strong fuel smell, Loud exhaust noise",Inspect exhaust system,$996,Hard
Ford,F-150,2006,Dead Battery,"Dim lights, Weak sound when starting, Car won't start",Charge the battery,$89,Easy
Toyota,Corolla,2015,Brake Issues,Steering wheel vibration,Inspect brake system,$336,Medium
Ford,F-150,2011,Engine Oil Leak,"Oil spots under the car, Low oil level",Fix the leak,$300,Medium
Mercedes,C-Class,2020,Brake Issues,"Steering wheel vibration, Increased stopping distance, Squeaking when braking",Inspect brake system,$242,Medium
Mercedes,C-Class,2019,Faulty Spark Plugs,"Engine vibration, Poor acceleration",Replace spark plugs,$260,Easy
Audi,A4,2019,Brake Issues,"Increased stopping distance, Steering wheel vibration",Inspect brake system,$231,Medium
Audi,A4,2018,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption, Poor acceleration",Replace spark plugs,$168,Easy
BMW,X5,2011,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard",Replace fuses,$171,Medium
Audi,A4,2022,Tire Issues,"Low tire pressure, Car vibration, Uneven tire wear",Replace tires,$155,Easy
Chevrolet,Camaro,2012,Suspension Issues,"Squeaking noise from underneath, Car swaying",Inspect suspension system,$917,Hard
Toyota,Corolla,2015,Cooling System Issues,Burning smell,Inspect cooling system,$779,Medium
Ford,F-150,2017,Tire Issues,Uneven tire wear,Balance tires,$143,Easy
Chevrolet,Camaro,2012,Tire Issues,"Low tire pressure, Uneven tire wear, Car vibration",Replace tires,$202,Easy
Toyota,Corolla,2019,Tire Issues,Low tire pressure,Balance tires,$139,Easy
Nissan,Patrol,2011,Dead Battery,"Weak sound when starting, Dim lights",Charge the battery,$146,Easy
Mercedes,C-Class,2010,Electrical System Issues,"Weak battery charging, Warning light on dashboard",Replace fuses,$216,Medium
BMW,X5,2019,Brake Issues,"Increased stopping distance, Squeaking when braking, Steering wheel vibration",Inspect brake system,$374,Medium
Honda,Civic,2020,Dead Battery,"Dim lights, Car won't start",Replace the battery,$134,Easy
Toyota,Corolla,2015,Brake Issues,"Increased stopping distance, Squeaking when braking",Replace brake pads,$284,Medium
Hyundai,Sonata,2010,Engine Oil Leak,"Burning smell, Low oil level",Replace gaskets,$221,Medium
BMW,X5,2012,Exhaust System Issues,"Loud exhaust noise, Strong fuel smell",Inspect exhaust system,$1031,Hard
Ford,F-150,2014,Brake Issues,Squeaking when braking,Inspect brake system,$345,Medium
Kia,Sportage,2022,Tire Issues,Uneven tire wear,Balance tires,$173,Easy
Nissan,Patrol,2017,Engine Oil Leak,"Burning smell, Low oil level, Oil spots under the car",Replace gaskets,$403,Medium
